대분류,중분류,Custom,EN,소분류,1회제공량(g),칼로리(kcal),kcal per g,folder_name,class,탄수화물,단백질,지방,당 (총당류),,,,,
볶음류,"육류,난류볶음",육류,meat,오리불고기,250,361.52,1.45,08013005,08,22.62,16.87,22.62,15.73,250.00,22.62,16.87,22.62,15.73
볶음류,"육류,난류볶음",육류,meat,오삼불고기,200,363,1.82,08013006,08,20.50,25.60,19.90,7.60,200.00,20.5,25.6,19.9,7.6
볶음류,"곡류,두류볶음",면류,noodle,떡볶이,200,304,1.52,08014001,08,51.91,7.01,5.91,8.80,180.00,57.68,7.79,6.57,9.78
볶음류,"곡류,두류볶음",면류,noodle,라볶이,200,268.47,1.34,08014002,08,153.33,20.00,20.00,20.00,30.00,1022.2,133.33,133.33,133.33
볶음류,"곡류,두류볶음","덮밥,국밥류",deopbab,마파두부,200,228,1.14,08014003,08,10.73,14.59,12.96,4.90,160.00,13.41,18.24,16.2,6.13
조림류,어패류조림,어패류,seafood,가자미조림,300,297.98,0.99,09011001,09,21.50,37.10,7.10,10.50,300.00,21.5,37.1,7.1,10.5
조림류,어패류조림,어패류,seafood,갈치조림,100,100.82,1.01,09011002,09,7.00,9.00,4.00,3.00,100.00,7,9,4,3
조림류,어패류조림,어패류,seafood,고등어조림,100,141.01,1.41,09011003,09,4.10,11.25,8.84,3.39,100.00,4.1,11.25,8.84,3.39
조림류,어패류조림,어패류,seafood,꽁치조림,100,243.51,2.44,09011004,09,5.14,15.52,17.87,4.05,100.00,5.14,15.52,17.87,4.05
조림류,어패류조림,어패류,seafood,동태조림,250,276,1.1,09011005,09,17.40,40.80,4.70,10.20,250.00,17.4,40.8,4.7,10.2
조림류,어패류조림,어패류,seafood,북어조림,100,181.86,1.82,09011006,09,17.14,20.83,3.33,8.20,100.00,17.14,20.83,3.33,8.2
조림류,어패류조림,어패류,seafood,조기조림,300,384,1.28,09011007,09,12.80,41.10,18.80,4.50,300.00,12.8,41.1,18.8,4.5
조림류,어패류조림,어패류,seafood,코다리조림,100,86.06,0.86,09011008,09,4.16,16.46,0.40,3.67,100.00,4.16,16.46,0.4,3.67
조림류,난류조림,육류,meat,달걀장조림,100,138.11,1.38,09012001,09,8.67,9.85,7.12,6.87,100.00,8.67,9.85,7.12,6.87
조림류,난류조림,육류,meat,메추리알장조림,100,202.86,2.03,09012002,09,6.30,14.25,13.41,3.48,100.00,6.3,14.25,13.41,3.48
